year,total.flow,residencetime
1989,118.296458312,49.59291892909994
1990,675.198216876,8.688806516418985
1991,633.379897822,9.262476890789147
1992,714.921089276,8.206033861174575
1993,1711.923277526,3.4269448541788203
1994,1245.261645654,4.711191970893433
1995,932.75692667,6.289598607014402
1996,1069.357394628,5.486160844015596
1997,1014.5359796719999,5.782610754291201
1998,1017.820733844,5.763948867999621
1999,892.773539334,6.571281974870291
2000,1043.079361016,5.624372301789488
2001,1085.441363536,5.4048674242107895
2002,855.282034428,6.859335786925779
2003,685.515743122,8.558033459521273
2004,1077.852448624,5.442921871315621
2005,899.919578734,6.519101045584371
2006,787.876612818,7.446174402465568
2007,1169.7519426220001,5.015308334104176
2008,2182.008982492,2.6886537652867686
2009,1973.480326148,2.9727515338942885
2010,1664.82669833,3.5238903079531125
2011,1293.311936368,4.536157520622589
2012,715.721889682,8.196852368555145
2013,1516.187039866,3.8693555032531872
2014,1243.48334774,4.717929417654998
2015,924.183718248,6.347944192079325
2016,1368.700443408,4.286304351636609
2017,1737.895489226,3.3757304182194994
2018,1694.033826584,3.4631343097184395
2019,2133.866945238,2.7493123129157095
